#OTU ID	MQ201019-23	MQ201019-24	MQ201019-25	MQ201019-26	MQ201019-27	MQ201019-28	MQ201019-29	MQ201019-30	MQ201019-31	MQ201019-32	MQ201019-33	MQ201019-34	MQ201019-35	MQ201019-36	MQ201019-37	MQ201019-38	MQ201019-39	MQ201019-40	MQ201019-41	MQ201019-42	MQ201019-43	MQ201019-44	MQ201019-45	MQ201019-46	MQ201019-47	MQ201019-48	MQ201019-49	MQ201019-50	MQ201019-51	MQ201019-52	MQ201019-53	MQ201019-54	MQ201019-55	MQ201019-56	MQ201019-57	MQ201019-58	MQ201019-59	MQ201019-60	MQ201019-61	MQ201019-62	MQ201019-63	MQ201019-64	MQ201019-65	MQ201019-66	MQ201019-67	MQ201019-68	MQ201019-69	MQ201019-70	MQ201019-71	MQ201019-72	MQ201019-73	MQ201019-74	MQ201019-75	MQ201019-76	MQ201019-77	MQ201019-78	MQ201019-79	MQ201019-80	MQ201019-81	MQ201019-82	MQ201019-83	MQ201019-84	MQ201019-85	MQ201019-86	MQ201019-87	MQ201019-88	MQ201019-89	MQ201019-90
ASV175	15	12	14	8	11	12	0	0	43	30	18	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	18	14	26	62	65	54	69	0	3	0	0	0	1	0	2	0	1	0	0	28	47	38	40	42	46	54	68	2	1	1	1	31	22	23	35	20	27	20	24
ASV440	7	11	8	13	9	9	0	0	7	1	11	2	34	22	17	17	19	23	33	38	0	0	0	0	0	0	0	0	1	1	4	4	1	1	0	0	0	0	9	7	8	15	1	0	0	0	0	0	13	8	20	20	11	12	21	26	0	1	0	1	3	1	2	3	1	3	5	2
ASV513	12	9	3	8	5	5	8	6	4	1	5	2	3	2	4	3	8	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18	22	15	18	1	0	8	6	9	2	1	1	9	5	5	2	6	3	8	5	2	3	6	7	7	9	5	13	6	8	8	9	0	2	3	5
ASV169	48	31	39	39	15	19	0	0	59	55	41	61	23	16	8	29	24	14	7	16	0	0	0	0	0	0	0	0	0	0	0	1	5	2	2	1	39	35	19	18	10	2	1	1	2	5	0	1	41	19	94	78	30	53	22	39	0	0	1	0	0	0	0	0	0	0	0	0
ASV3614	8	3	1	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	3	1	0	4	1
ASV465	36	17	2	1	0	0	0	0	10	14	5	15	0	0	2	1	2	0	0	2	0	0	0	0	0	0	0	0	29	20	15	29	15	16	12	14	0	0	0	0	0	1	0	0	0	0	0	0	11	4	9	9	12	2	15	14	0	0	0	0	0	0	0	0	0	0	0	0
ASV3771	2	1	4	1	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV521	73	42	20	29	67	67	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	2	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV3221	1	0	2	4	6	5	0	0	2	2	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV205	230	194	16	14	34	37	0	0	5	8	1	13	21	16	7	15	19	17	14	16	0	0	0	0	0	0	0	0	41	40	39	47	0	0	0	0	0	0	2	2	3	0	0	0	7	7	3	8	0	0	0	0	0	0	0	0	0	0	0	0	2	5	2	5	11	15	6	9
ASV1656	1	2	1	0	0	0	0	0	0	2	0	0	6	3	1	1	8	5	3	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	3	2	2	1	0	0	0	0	0	0	0	2	0	1	1	1	1	2	7	2	6	4	1	0	2	2	1	0	1	0	0
ASV111	192	161	78	73	119	123	0	0	201	196	104	160	18	8	4	11	8	17	15	15	0	0	0	0	0	0	0	0	0	0	0	0	31	29	26	29	4	8	2	2	0	0	0	0	0	0	0	0	1	0	1	1	0	3	4	4	0	0	0	0	0	0	1	0	0	1	1	0
ASV3534	2	4	1	3	3	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV724	82	41	4	0	1	2	0	0	1	43	2	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV4076	5	2	5	4	2	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV1451	26	13	0	0	0	0	0	0	27	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1060	14	6	7	8	12	13	0	0	3	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	1	1	3	2	2	2	1	2	6	15	6	9	0	0	0	0	0	0	0	1
ASV4660	2	0	0	0	0	2	0	0	1	1	2	0	3	3	2	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV466	20	28	16	29	32	31	7	3	13	44	6	25	16	11	16	19	10	9	18	15	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	4	0	1	4	0	4	0	0	0	0	0	0	0	0
ASV577	11	4	3	5	11	5	0	1	4	2	1	7	1	1	2	3	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	24	23	8	13	0	1	2	0	6	4	1	0	6	1	0	2	4	6	1	5	10	10	5	20	4	5	4	4	6	6	2	6	4	5	1	14
ASV1832	12	9	0	7	5	6	0	0	4	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	3	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	2	5	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
