#OTU ID	MQ200925-86	MQ200925-87	MQ200925-88	MQ200925-89	MQ200925-90	MQ200925-91	MQ200925-92	MQ200925-93	MQ200925-94	MQ200925-95	MQ200925-96	MQ200925-97	MQ200925-98	MQ200925-99	MQ200925-100	MQ200925-101	MQ200925-102	MQ200925-103	MQ200925-104	MQ200925-105	MQ200925-106	MQ200925-107	MQ200925-108	MQ200925-109	MQ200925-110	MQ200925-111	MQ200925-112	MQ200925-113	MQ200925-114	MQ200925-115	MQ200925-116	MQ200925-117	MQ200925-118	MQ200925-119	MQ200925-120	MQ200925-121	MQ200925-122	MQ200925-123	MQ200925-124	MQ200925-125	MQ200925-126	MQ200925-127	MQ200925-128	MQ200925-129	MQ200925-130	MQ200925-131	MQ200925-132	MQ200925-133	MQ200925-134	MQ200925-135	MQ200925-136	MQ200925-137	MQ200925-138	MQ200925-139	MQ200925-140	MQ200925-141	MQ200925-142	MQ200925-143	MQ200925-144	MQ200925-145	MQ200925-146	MQ200925-147	MQ200925-148	MQ200925-149	MQ200925-150	MQ200925-151	MQ200925-152	MQ200925-153
ASV16	1875	1886	5377	4966	811	1421	1	30	135	120	118	152	23	21	23	30	19	22	38	27	0	0	0	0	0	0	1	0	5	3	5	0	165	161	158	148	60	50	1	3	1839	1428	109	144	2448	2475	2499	1928	270	256	201	166	173	161	370	325	1	0	0	0	10	6	10	7	10	22	190	195
ASV1	17689	16729	16990	17078	9706	17866	2502	21315	16957	16406	16177	13940	22828	26783	22677	22649	18181	20340	22721	21682	22678	22626	21894	15538	23316	21617	25848	29399	16184	15802	15886	12694	16822	17542	14037	16481	25879	25203	23666	19682	17665	15021	17818	20384	16367	16833	16572	15795	21383	18979	20623	17561	24841	22154	25731	22402	22435	9238	19450	20352	21750	18385	23541	18429	18736	17882	20228	20854
ASV11	1139	941	1811	2056	849	1626	5	114	1021	1264	978	1045	244	247	292	278	211	224	218	269	1	1	0	0	1	0	1	0	76	70	91	63	1808	1382	1351	1571	1183	1061	199	116	1226	1117	715	887	1170	1151	1247	1032	864	692	831	630	1084	874	1149	930	625	235	802	833	654	392	432	389	205	263	488	521
ASV2	4995	4838	3371	3336	2479	4214	16	148	5687	3630	5749	3943	3747	4643	3688	3799	2717	3005	3303	3315	3	7	1	1	0	0	4	3	201	220	200	163	4856	4987	4051	4777	4026	3857	1649	1435	2915	2184	1131	1259	3457	3274	3912	3161	3516	2994	2486	2565	4002	3509	4582	4304	74	34	57	66	211	169	224	205	287	247	182	197
ASV7	3655	3547	3336	3219	1755	3060	4	19	2224	1706	2115	1921	1792	2125	1965	1911	1459	1534	2000	2017	0	1	0	0	0	0	4	2	8	2	4	8	911	822	703	765	4	17	4937	4016	650	546	2969	3699	36	42	45	25	396	390	329	345	826	627	961	866	16	8	22	21	23	30	37	31	23	19	35	16
ASV17	587	566	367	339	146	312	1	2	482	141	480	106	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	7871	7702	6398	5410	11	14	14	55	0	9	0	0	7	5	0	0	28	28	21	15	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
ASV55	181	215	127	128	40	68	0	6	5	26	2	15	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	32	32	31	27	15	8	0	0	36	40	0	0	28	28	30	26	19	16	56	50	22	37	53	51	0	0	0	5	0	2	10	2	0	3	5	4
ASV182	338	253	351	301	164	285	8	109	215	247	243	267	75	68	75	70	53	61	78	71	20	20	14	20	28	19	19	25	280	251	229	170	245	278	238	253	76	69	90	63	253	244	63	88	275	284	280	252	110	94	68	74	100	80	104	82	83	45	73	63	71	75	97	59	51	72	54	48
ASV22	21	20	43	25	21	30	20	181	62	21	51	31	39	43	25	41	21	25	31	28	0	0	0	3	1	0	1	2	107	109	91	99	341	329	236	217	205	223	32	23	2283	1998	93	108	1269	1432	1410	1346	52	41	51	30	46	56	86	71	48	31	39	46	94	73	139	79	117	114	78	107
ASV4	6771	6542	4978	5315	5160	9170	2	5	6	2	4	5	2	6	3	5	5	10	4	7	3	0	0	0	1	1	1	1	12	7	4	21	8491	8901	6831	7762	25	79	2	2	371	258	3	15	7349	7471	6833	5601	49	61	11	21	5	6	11	13	0	1	1	2	5	1	9	0	3	8	0	8
