SeqID	SampleID	Replicate_type	Continent	Country	Country_code	City	Latitude	Longitude	Sampling_date	Temperature	Temperature_range	Digester_location	Digester_technology	Primary_substrate	Digester_age	Ammonium	TS	VS	pH	Volumen	SRT
MQ200925-86	AU-01-A	Biological	Oceania	Australia	AU	City13	-34.77	138.58	13/01/2020	37.9	Mesophilic	WWTP	CSTR	Wastewater sludge	60		2.16	1.17	6.9	7800	13.5
MQ200925-87	AU-01-B	Biological	Oceania	Australia	AU	City13	-34.77	138.58	13/01/2020	37.9	Mesophilic	WWTP	CSTR	Wastewater sludge	60		2.16	1.17	6.9	7800	13.5
MQ200925-88	AU-02-A	Biological	Oceania	Australia	AU	City13	-34.77	138.58	13/01/2020	38.8	Mesophilic	WWTP	CSTR	Wastewater sludge	60		2.16	1.17	6.8	7800	13.5
MQ200925-89	AU-02-B	Biological	Oceania	Australia	AU	City13	-34.77	138.58	13/01/2020	38.8	Mesophilic	WWTP	CSTR	Wastewater sludge	60		2.16	1.17	6.8	7800	13.5
MQ200925-90	AU-03-A	Biological	Oceania	Australia	AU	City13	-34.77	138.58	13/01/2020	37.6	Mesophilic	WWTP	CSTR	Wastewater sludge	60		2.16	1.17	6.8	7800	13.5
MQ200925-91	AU-03-B	Biological	Oceania	Australia	AU	City13	-34.77	138.58	13/01/2020	37.6	Mesophilic	WWTP	CSTR	Wastewater sludge	60		2.16	1.17	6.8	7800	13.5
MQ200925-92	AU-04-A	Biological	Oceania	Australia	AU	City13	-34.96	138.93	13/01/2020	34.5	Mesophilic	WWTP	CSTR	Wastewater sludge	15		4.13	2.43	7.1	650	36
MQ200925-93	AU-04-B	Biological	Oceania	Australia	AU	City13	-34.96	138.93	13/01/2020	34.5	Mesophilic	WWTP	CSTR	Wastewater sludge	15		4.13	2.43	7.1	650	36
MQ200925-94	AU-05-A	Biological	Oceania	Australia	AU	City13	-34.96	138.51	13/01/2020	37.7	Mesophilic	WWTP	CSTR	Wastewater sludge	65		1.25	0.75	6.9	3200	15
MQ200925-95	AU-05-B	Biological	Oceania	Australia	AU	City13	-34.96	138.51	13/01/2020	37.7	Mesophilic	WWTP	CSTR	Wastewater sludge	65		1.25	0.75	6.9	3200	15
MQ200925-96	AU-06-A	Biological	Oceania	Australia	AU	City13	-34.96	138.51	13/01/2020	38.2	Mesophilic	WWTP	CSTR	Wastewater sludge	56		1.25	0.75	6.9	3200	15
MQ200925-97	AU-06-B	Biological	Oceania	Australia	AU	City13	-34.96	138.51	13/01/2020	38.2	Mesophilic	WWTP	CSTR	Wastewater sludge	56		1.25	0.75	6.9	3200	15
MQ200925-98	AU-07-A	Biological	Oceania	Australia	AU	City14	-38.02	145.17	20/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	43		2.3	0.74	7.8	8000	15
MQ200925-99	AU-07-B	Biological	Oceania	Australia	AU	City14	-38.02	145.17	20/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	43		2.3	0.74	7.8	8000	15
MQ200925-100	AU-08-A	Biological	Oceania	Australia	AU	City14	-38.02	145.17	20/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	43		2.3	0.74	7.9	8000	15
MQ200925-101	AU-08-B	Biological	Oceania	Australia	AU	City14	-38.02	145.17	20/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	43		2.3	0.74	7.9	8000	15
MQ200925-102	AU-09-A	Biological	Oceania	Australia	AU	City14	-38.02	145.17	20/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	33		2.3	0.74	7.6	8000	15
MQ200925-103	AU-09-B	Biological	Oceania	Australia	AU	City14	-38.02	145.17	20/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	33		2.3	0.74	7.6	8000	15
MQ200925-104	AU-10-A	Biological	Oceania	Australia	AU	City14	-38.02	145.17	20/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	33		2.3	0.74	7.8	8000	15
MQ200925-105	AU-10-B	Biological	Oceania	Australia	AU	City14	-38.02	145.17	20/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	33		2.3	0.74	7.8	8000	15
MQ200925-106	AU-11-A	Biological	Oceania	Australia	AU	City15	-27.55	152.99	22/01/2020	42.03	Mesophilic	WWTP	CSTR	Wastewater sludge	15	2700	47	31.96	7.6	2660	
MQ200925-107	AU-11-B	Biological	Oceania	Australia	AU	City15	-27.55	152.99	22/01/2020	42.03	Mesophilic	WWTP	CSTR	Wastewater sludge	15	2700	47	31.96	7.6	2660	
MQ200925-108	AU-12-A	Biological	Oceania	Australia	AU	City15	-27.55	152.99	22/01/2020	41.8	Mesophilic	WWTP	CSTR	Wastewater sludge	15	3200	47	31.96	7.5	2660	
MQ200925-109	AU-12-B	Biological	Oceania	Australia	AU	City15	-27.55	152.99	22/01/2020	41.8	Mesophilic	WWTP	CSTR	Wastewater sludge	15	3200	47	31.96	7.5	2660	
MQ200925-110	AU-13-A	Biological	Oceania	Australia	AU	City15	-27.55	152.99	22/01/2020	42.2	Mesophilic	WWTP	CSTR	Wastewater sludge	15	2900	46	30.82	7.5	2660	
MQ200925-111	AU-13-B	Biological	Oceania	Australia	AU	City15	-27.55	152.99	22/01/2020	42.2	Mesophilic	WWTP	CSTR	Wastewater sludge	15	2900	46	30.82	7.5	2660	
MQ200925-112	AU-14-A	Biological	Oceania	Australia	AU	City15	-27.55	152.99	22/01/2020	41.45	Mesophilic	WWTP	CSTR	Wastewater sludge	15	3000	46	30.82	7.5	2660	
MQ200925-113	AU-14-B	Biological	Oceania	Australia	AU	City15	-27.55	152.99	22/01/2020	41.45	Mesophilic	WWTP	CSTR	Wastewater sludge	15	3000	46	30.82	7.5	2660	
MQ200925-114	AU-15-A	Biological	Oceania	Australia	AU	City16	-27.91	153.37	23/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	8	851	39	27	7	12000	
MQ200925-115	AU-15-B	Biological	Oceania	Australia	AU	City16	-27.91	153.37	23/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	8	851	39	27	7	12000	
MQ200925-116	AU-16-A	Biological	Oceania	Australia	AU	City16	-27.91	153.37	23/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	8	851	39	27	7	12000	
MQ200925-117	AU-16-B	Biological	Oceania	Australia	AU	City16	-27.91	153.37	23/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	8	851	39	27	7	12000	
MQ200925-118	AU-17-A	Biological	Oceania	Australia	AU	City16	-28.12	153.44	23/01/2020	35	Mesophilic	WWTP	CSTR	Wastewater sludge	30		28.3	16.7	7.1	4200	97.6744186
MQ200925-119	AU-17-B	Biological	Oceania	Australia	AU	City16	-28.12	153.44	23/01/2020	35	Mesophilic	WWTP	CSTR	Wastewater sludge	30		28.3	16.7	7.1	4200	97.6744186
MQ200925-120	AU-18-A	Biological	Oceania	Australia	AU	City16	-28.12	153.44	23/01/2020	35	Mesophilic	WWTP	CSTR	Wastewater sludge	30		28.3	16.7	7.1	4200	97.6744186
MQ200925-121	AU-18-B	Biological	Oceania	Australia	AU	City16	-28.12	153.44	23/01/2020	35	Mesophilic	WWTP	CSTR	Wastewater sludge	30		28.3	16.7	7.1	4200	97.6744186
MQ200925-122	AU-19-A	Biological	Oceania	Australia	AU	City17	-26.73	153.12	23/01/2020	38	Mesophilic	WWTP	CSTR	Wastewater sludge	0.5		23	16.33	7.5	4701	33.848
MQ200925-123	AU-19-B	Biological	Oceania	Australia	AU	City17	-26.73	153.12	23/01/2020	38	Mesophilic	WWTP	CSTR	Wastewater sludge	0.5		23	16.33	7.5	4701	33.848
MQ200925-124	AU-20-A	Biological	Oceania	Australia	AU	City18	-34.03	151.16	17/01/2020	36.9	Mesophilic	WWTP	TSAD	Wastewater sludge	35		20.02	15.94	7.1	4240	11.3
MQ200925-125	AU-20-B	Biological	Oceania	Australia	AU	City18	-34.03	151.16	17/01/2020	36.9	Mesophilic	WWTP	TSAD	Wastewater sludge	35		20.02	15.94	7.1	4240	11.3
MQ200925-126	AU-21-A	Biological	Oceania	Australia	AU	City18	-33.89	151.28	20/01/2020	39.1	Mesophilic	WWTP	CSTR	Wastewater sludge	75		42	31.5	7.2	4050	32
MQ200925-127	AU-21-B	Biological	Oceania	Australia	AU	City18	-33.89	151.28	20/01/2020	39.1	Mesophilic	WWTP	CSTR	Wastewater sludge	75		42	31.5	7.2	4050	32
MQ200925-128	AU-22-A	Biological	Oceania	Australia	AU	City18	-33.81	151.3	20/01/2020	37.9	Mesophilic	WWTP	CSTR	Wastewater sludge	13		40	32.5	7.6	4050	26
MQ200925-129	AU-22-B	Biological	Oceania	Australia	AU	City18	-33.81	151.3	20/01/2020	37.9	Mesophilic	WWTP	CSTR	Wastewater sludge	13		40	32.5	7.6	4050	26
MQ200925-130	AU-24-A	Biological	Oceania	Australia	AU	City18	-33.96	151.25	17/01/2020	37.7	Mesophilic	WWTP	CSTR	Wastewater sludge	50		38.1	22.5	7.2	10400	23
MQ200925-131	AU-24-B	Biological	Oceania	Australia	AU	City18	-33.96	151.25	17/01/2020	37.7	Mesophilic	WWTP	CSTR	Wastewater sludge	50		38.1	22.5	7.2	10400	23
MQ200925-132	AU-25-A	Biological	Oceania	Australia	AU	City18	-33.96	151.25	17/01/2020	37.9	Mesophilic	WWTP	CSTR	Wastewater sludge	50		38.1	22.5	7.2	10400	23
