#OTU ID	MQ201019-178	MQ201019-179	MQ201019-180	MQ201019-181	MQ201019-182	MQ201019-183	MQ201019-184	MQ201019-185	MQ201019-186	MQ201019-187	MQ201019-188	MQ201019-189	MQ201019-190	MQ201019-191	MQ201019-192	MQ201019-193	MQ201019-194	MQ201019-195	MQ201019-196	MQ201019-197	MQ201019-198	MQ201019-199	MQ201019-200	MQ201019-201	MQ201019-202	MQ201019-203	MQ201019-204	MQ201019-205	MQ201019-206	MQ201019-207	MQ201019-208	MQ201019-209	MQ201019-210	MQ201019-211	MQ201019-212	MQ201019-213	MQ201019-214	MQ201019-215	MQ201019-216	MQ201019-217	MQ201019-218	MQ201019-219	MQ201019-220	MQ201019-221	MQ201019-222	MQ201019-223	MQ201019-224	MQ201019-225	MQ201019-226	MQ201019-227	MQ201019-228	MQ201019-229	MQ201019-230	MQ201019-231	MQ201019-232	MQ201019-233	MQ201019-234	MQ201019-235	MQ201019-236	MQ201019-237	MQ201019-238	MQ201019-239	MQ201019-240	MQ201019-241	MQ201019-242	MQ201019-243	MQ201019-244	MQ201019-245
ASV238	25	22	14	21	11	4	44	67	5	25	9	16	10	7	9	13	12	10	12	13	0	0	0	0	0	0	0	0	12	5	13	8	3	11	14	9	19	11	39	46	0	0	4	6	1	1	1	0	4	7	10	6	2	2	11	7	18	37	20	26	33	19	47	36	8	28	30	29
ASV12	859	1184	299	289	545	228	292	232	60	235	137	221	571	453	565	601	413	525	622	524	0	0	0	0	0	0	0	1	451	217	545	542	2	3	0	8	10	7	401	475	0	1	96	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	134	274	307	14	30	255	169
ASV54	107	132	137	134	171	111	21	31	48	102	89	144	88	59	83	68	53	47	68	49	0	0	0	0	0	1	0	0	9	6	9	8	97	273	287	249	23	18	15	23	59	97	20	28	68	24	57	79	40	116	218	162	135	57	141	151	49	100	134	127	137	67	131	128	72	154	155	119
ASV32	1230	1546	311	241	212	122	0	0	558	677	1173	671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	11	29	60	59	1	2	15	20	69	82	0	0	1	0	2	0	24	56	39	37	22	24	20	22	0	0	0	0	7	5	6	8	1	2	8	7
ASV58	161	254	441	402	313	86	3	0	25	97	91	130	48	29	56	46	23	36	31	23	0	0	0	0	0	0	0	0	4	0	0	4	41	157	219	216	9	9	4	7	175	288	75	77	356	105	426	479	23	96	63	66	73	29	119	99	0	2	3	7	13	5	8	8	2	3	12	2
ASV214	42	49	3	10	19	3	0	0	15	5	56	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14	25	11	0	5	45	48	91	164	92	73	15	11	31	20	18	51	49	44	30	9	49	53	0	0	0	0	0	0	0	0	0	0	0	1
ASV300	319	477	74	69	59	32	0	0	4	25	17	20	39	26	40	38	22	22	38	23	0	0	0	0	0	0	0	0	57	32	70	48	1	0	0	1	16	10	11	12	2	11	9	8	8	3	10	13	0	0	0	2	3	2	2	4	0	0	0	0	5	5	15	17	2	3	9	11
ASV72	89	150	79	81	164	62	0	1	60	223	207	210	53	34	61	52	30	49	35	36	0	0	0	0	0	0	0	0	5	1	3	1	102	339	317	262	73	39	41	53	135	194	4	10	8	7	5	9	31	98	90	66	11	2	101	89	6	16	0	1	0	0	0	0	0	0	2	0
ASV634	112	125	18	7	17	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV36	288	477	362	286	343	135	0	0	130	222	312	263	28	12	29	35	17	24	24	10	0	0	0	0	0	0	0	0	3	2	3	2	44	205	279	284	48	33	91	110	298	506	377	381	61	28	79	100	12	25	31	31	35	19	52	37	0	0	0	0	2	2	2	1	0	0	4	5
ASV1	790	1102	102	72	125	75	5	3	8	37	15	33	724	485	771	670	506	582	758	565	0	0	0	0	1	1	2	0	402	118	314	288	1	2	6	12	2204	1235	2295	2585	295	415	1984	1792	189	80	225	193	879	2239	2473	2159	1817	741	1758	1670	2667	6110	4847	4834	1107	528	976	1034	1159	2227	1770	1254
ASV31	97	164	135	108	145	51	0	5	49	190	201	207	349	240	377	474	218	294	403	285	0	0	0	0	0	0	0	1	4	2	4	6	30	112	205	162	5	4	200	260	144	183	288	267	104	31	103	104	84	235	253	205	180	87	195	156	5	6	39	30	10	7	12	16	2	11	22	17
ASV16	12	23	1	0	0	0	0	0	81	92	278	112	913	495	795	913	548	669	732	516	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	157	180	384	592	212	171	252	103	304	307	80	231	300	325	335	110	275	289	141	321	566	536	228	77	225	215	75	176	224	163
ASV4	211	296	11	17	9	4	11	13	76	43	206	43	347	255	371	383	243	336	372	276	0	0	0	0	0	0	0	0	91	28	97	104	2	10	15	6	257	146	164	197	1170	2121	1285	1138	1588	743	1717	1916	148	375	610	459	479	162	409	398	128	352	224	238	518	299	649	583	181	421	653	504
ASV452	43	57	6	3	3	1	0	0	0	0	0	0	46	30	39	38	34	38	28	19	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	4	1	0	0	0	0	0	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	23	13	0	0	0	6	37	17
ASV10	185	291	28	20	38	17	42	35	316	291	879	297	862	513	780	864	591	759	809	609	0	0	0	0	1	0	0	1	109	43	148	130	1	4	0	1	46	20	455	461	18	24	397	327	65	24	76	69	61	210	361	312	276	100	206	192	94	212	334	330	589	241	413	458	188	337	561	358
ASV50	122	151	9	8	11	5	62	49	24	12	46	3	185	136	196	230	139	201	235	166	0	0	0	0	0	0	0	0	39	18	36	33	0	0	1	1	5	16	206	271	0	0	269	231	30	13	22	30	50	145	271	212	136	52	193	165	6	9	18	10	170	89	144	141	64	121	139	119
ASV9	655	1053	2663	2280	2000	750	0	2	486	2453	2011	2795	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV60	111	122	9	20	54	24	0	0	105	102	251	125	213	149	254	273	192	210	185	131	0	0	0	0	11	14	3	0	0	0	0	0	0	0	1	0	50	19	122	133	26	52	46	43	23	14	30	35	82	258	84	60	103	38	146	128	57	110	85	52	27	9	15	26	14	25	33	24
ASV305	46	67	27	28	65	30	0	0	2	1	12	3	48	29	59	51	27	40	38	31	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	3	4	8	0	0	0	0	0	0	0	0	4	20	39	27	30	17	13	28	0	0	0	2	6	2	3	8	1	3	8	1
ASV422	41	67	4	5	0	0	0	0	20	11	53	15	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	5	2	58	61	6	34	46	26
