SeqID	SampleID	Replicate_type	Continent	Country	Country_code	City	Latitude	Longitude	Sampling_date	Temperature	Temperature_range	Digester_location	Digester_technology	Primary_substrate	Digester_age	Ammonium	TS	VS	pH	Volumen	SRT
MQ201019-35	AU-07-A	Biological	Oceania	Australia	AU	City14	-38.02	145.17	20/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	43		2.3	0.74	7.8	8000	15
MQ201019-36	AU-07-B	Biological	Oceania	Australia	AU	City14	-38.02	145.17	20/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	43		2.3	0.74	7.8	8000	15
MQ201019-37	AU-08-A	Biological	Oceania	Australia	AU	City14	-38.02	145.17	20/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	43		2.3	0.74	7.9	8000	15
MQ201019-38	AU-08-B	Biological	Oceania	Australia	AU	City14	-38.02	145.17	20/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	43		2.3	0.74	7.9	8000	15
MQ201019-39	AU-09-A	Biological	Oceania	Australia	AU	City14	-38.02	145.17	20/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	33		2.3	0.74	7.6	8000	15
MQ201019-40	AU-09-B	Biological	Oceania	Australia	AU	City14	-38.02	145.17	20/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	33		2.3	0.74	7.6	8000	15
MQ201019-41	AU-10-A	Biological	Oceania	Australia	AU	City14	-38.02	145.17	20/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	33		2.3	0.74	7.8	8000	15
MQ201019-42	AU-10-B	Biological	Oceania	Australia	AU	City14	-38.02	145.17	20/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	33		2.3	0.74	7.8	8000	15
MQ201019-43	AU-11-A	Biological	Oceania	Australia	AU	City15	-27.55	152.99	22/01/2020	42.03	Mesophilic	WWTP	CSTR	Wastewater sludge	15	2700	47	31.96	7.6	2660	
MQ201019-44	AU-11-B	Biological	Oceania	Australia	AU	City15	-27.55	152.99	22/01/2020	42.03	Mesophilic	WWTP	CSTR	Wastewater sludge	15	2700	47	31.96	7.6	2660	
MQ201019-45	AU-12-A	Biological	Oceania	Australia	AU	City15	-27.55	152.99	22/01/2020	41.8	Mesophilic	WWTP	CSTR	Wastewater sludge	15	3200	47	31.96	7.5	2660	
MQ201019-46	AU-12-B	Biological	Oceania	Australia	AU	City15	-27.55	152.99	22/01/2020	41.8	Mesophilic	WWTP	CSTR	Wastewater sludge	15	3200	47	31.96	7.5	2660	
MQ201019-47	AU-13-A	Biological	Oceania	Australia	AU	City15	-27.55	152.99	22/01/2020	42.2	Mesophilic	WWTP	CSTR	Wastewater sludge	15	2900	46	30.82	7.5	2660	
MQ201019-48	AU-13-B	Biological	Oceania	Australia	AU	City15	-27.55	152.99	22/01/2020	42.2	Mesophilic	WWTP	CSTR	Wastewater sludge	15	2900	46	30.82	7.5	2660	
MQ201019-49	AU-14-A	Biological	Oceania	Australia	AU	City15	-27.55	152.99	22/01/2020	41.45	Mesophilic	WWTP	CSTR	Wastewater sludge	15	3000	46	30.82	7.5	2660	
MQ201019-50	AU-14-B	Biological	Oceania	Australia	AU	City15	-27.55	152.99	22/01/2020	41.45	Mesophilic	WWTP	CSTR	Wastewater sludge	15	3000	46	30.82	7.5	2660	
MQ201019-51	AU-15-A	Biological	Oceania	Australia	AU	City16	-27.91	153.37	23/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	8	851	39	27	7	12000	
MQ201019-52	AU-15-B	Biological	Oceania	Australia	AU	City16	-27.91	153.37	23/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	8	851	39	27	7	12000	
MQ201019-53	AU-16-A	Biological	Oceania	Australia	AU	City16	-27.91	153.37	23/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	8	851	39	27	7	12000	
MQ201019-54	AU-16-B	Biological	Oceania	Australia	AU	City16	-27.91	153.37	23/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	8	851	39	27	7	12000	
MQ201019-55	AU-17-A	Biological	Oceania	Australia	AU	City16	-28.12	153.44	23/01/2020	35	Mesophilic	WWTP	CSTR	Wastewater sludge	30		28.3	16.7	7.1	4200	97.6744186
MQ201019-56	AU-17-B	Biological	Oceania	Australia	AU	City16	-28.12	153.44	23/01/2020	35	Mesophilic	WWTP	CSTR	Wastewater sludge	30		28.3	16.7	7.1	4200	97.6744186
MQ201019-57	AU-18-A	Biological	Oceania	Australia	AU	City16	-28.12	153.44	23/01/2020	35	Mesophilic	WWTP	CSTR	Wastewater sludge	30		28.3	16.7	7.1	4200	97.6744186
MQ201019-58	AU-18-B	Biological	Oceania	Australia	AU	City16	-28.12	153.44	23/01/2020	35	Mesophilic	WWTP	CSTR	Wastewater sludge	30		28.3	16.7	7.1	4200	97.6744186
MQ201019-59	AU-19-A	Biological	Oceania	Australia	AU	City17	-26.73	153.12	23/01/2020	38	Mesophilic	WWTP	CSTR	Wastewater sludge	0.5		23	16.33	7.5	4701	33.848
MQ201019-60	AU-19-B	Biological	Oceania	Australia	AU	City17	-26.73	153.12	23/01/2020	38	Mesophilic	WWTP	CSTR	Wastewater sludge	0.5		23	16.33	7.5	4701	33.848
MQ201019-61	AU-20-A	Biological	Oceania	Australia	AU	City18	-34.03	151.16	17/01/2020	36.9	Mesophilic	WWTP	TSAD	Wastewater sludge	35		20.02	15.94	7.1	4240	11.3
MQ201019-62	AU-20-B	Biological	Oceania	Australia	AU	City18	-34.03	151.16	17/01/2020	36.9	Mesophilic	WWTP	TSAD	Wastewater sludge	35		20.02	15.94	7.1	4240	11.3
MQ201019-63	AU-21-A	Biological	Oceania	Australia	AU	City18	-33.89	151.28	20/01/2020	39.1	Mesophilic	WWTP	CSTR	Wastewater sludge	75		42	31.5	7.2	4050	32
MQ201019-64	AU-21-B	Biological	Oceania	Australia	AU	City18	-33.89	151.28	20/01/2020	39.1	Mesophilic	WWTP	CSTR	Wastewater sludge	75		42	31.5	7.2	4050	32
MQ201019-65	AU-22-A	Biological	Oceania	Australia	AU	City18	-33.81	151.3	20/01/2020	37.9	Mesophilic	WWTP	CSTR	Wastewater sludge	13		40	32.5	7.6	4050	26
MQ201019-66	AU-22-B	Biological	Oceania	Australia	AU	City18	-33.81	151.3	20/01/2020	37.9	Mesophilic	WWTP	CSTR	Wastewater sludge	13		40	32.5	7.6	4050	26
MQ201019-67	AU-24-A	Biological	Oceania	Australia	AU	City18	-33.96	151.25	17/01/2020	37.7	Mesophilic	WWTP	CSTR	Wastewater sludge	50		38.1	22.5	7.2	10400	23
MQ201019-68	AU-24-B	Biological	Oceania	Australia	AU	City18	-33.96	151.25	17/01/2020	37.7	Mesophilic	WWTP	CSTR	Wastewater sludge	50		38.1	22.5	7.2	10400	23
MQ201019-69	AU-25-A	Biological	Oceania	Australia	AU	City18	-33.96	151.25	17/01/2020	37.9	Mesophilic	WWTP	CSTR	Wastewater sludge	50		38.1	22.5	7.2	10400	23
MQ201019-70	AU-25-B	Biological	Oceania	Australia	AU	City18	-33.96	151.25	17/01/2020	37.9	Mesophilic	WWTP	CSTR	Wastewater sludge	50		38.1	22.5	7.2	10400	23
MQ201019-71	AU-26-A	Biological	Oceania	Australia	AU	City19	-31.78	115.78	30/01/2020	37.4	Mesophilic	WWTP	CSTR	Wastewater sludge	30	547	13.9	10.981	6.96	4700	20
MQ201019-72	AU-26-B	Biological	Oceania	Australia	AU	City19	-31.78	115.78	30/01/2020	37.4	Mesophilic	WWTP	CSTR	Wastewater sludge	30	547	13.9	10.981	6.96	4700	20
MQ201019-73	AU-27-A	Biological	Oceania	Australia	AU	City19	-31.78	115.78	30/01/2020	37.8	Mesophilic	WWTP	CSTR	Wastewater sludge	30	558	14.1	11.139	7.01	4700	21.6
MQ201019-74	AU-27-B	Biological	Oceania	Australia	AU	City19	-31.78	115.78	30/01/2020	37.8	Mesophilic	WWTP	CSTR	Wastewater sludge	30	558	14.1	11.139	7.01	4700	21.6
MQ201019-75	AU-28-A	Biological	Oceania	Australia	AU	City19	-31.78	115.78	30/01/2020	37.3	Mesophilic	WWTP	CSTR	Wastewater sludge	30	627	14.2	11.218	7	4700	22.8
MQ201019-76	AU-28-B	Biological	Oceania	Australia	AU	City19	-31.78	115.78	30/01/2020	37.3	Mesophilic	WWTP	CSTR	Wastewater sludge	30	627	14.2	11.218	7	4700	22.8
MQ201019-77	AU-29-A	Biological	Oceania	Australia	AU	City19	-31.78	115.78	30/01/2020	37.3	Mesophilic	WWTP	CSTR	Wastewater sludge	30	538	14.3	11.297	6.97	4700	20
MQ201019-78	AU-29-B	Biological	Oceania	Australia	AU	City19	-31.78	115.78	30/01/2020	37.3	Mesophilic	WWTP	CSTR	Wastewater sludge	30	538	14.3	11.297	6.97	4700	20
MQ201019-79	AU-30-A	Biological	Oceania	Australia	AU	City19	-32.15	115.77	30/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	20	1330	27.4	20.824	7.18	8000	21.5
MQ201019-80	AU-30-B	Biological	Oceania	Australia	AU	City19	-32.15	115.77	30/01/2020	37.5	Mesophilic	WWTP	CSTR	Wastewater sludge	20	1330	27.4	20.824	7.18	8000	21.5
MQ201019-81	AU-31-A	Biological	Oceania	Australia	AU	City19	-32.15	115.77	30/01/2020	37.4	Mesophilic	WWTP	CSTR	Wastewater sludge	20	1240	27.1	20.596	7.14	8000	21.4
MQ201019-82	AU-31-B	Biological	Oceania	Australia	AU	City19	-32.15	115.77	30/01/2020	37.4	Mesophilic	WWTP	CSTR	Wastewater sludge	20	1240	27.1	20.596	7.14	8000	21.4
MQ201019-83	AU-32-A	Biological	Oceania	Australia	AU	City20	-27.38	153.15	31/01/2020	39.3	Mesophilic	WWTP	Other	Wastewater sludge	46	900	28	19.6	7.3	5500	
MQ201019-84	AU-32-B	Biological	Oceania	Australia	AU	City20	-27.38	153.15	31/01/2020	39.3	Mesophilic	WWTP	Other	Wastewater sludge	46	900	28	19.6	7.3	5500	
MQ201019-85	AU-33-A	Biological	Oceania	Australia	AU	City20	-27.38	153.15	31/01/2020	39.1	Mesophilic	WWTP	Other	Wastewater sludge	46	900	28	19.6	7.3	5500	
MQ201019-86	AU-33-B	Biological	Oceania	Australia	AU	City20	-27.38	153.15	31/01/2020	39.1	Mesophilic	WWTP	Other	Wastewater sludge	46	900	28	19.6	7.3	5500	
MQ201019-87	AU-34-A	Biological	Oceania	Australia	AU	City20	-27.38	153.15	31/01/2020	39.1	Mesophilic	WWTP	Other	Wastewater sludge	46	900	30	21	7.3	5500	
MQ201019-88	AU-34-B	Biological	Oceania	Australia	AU	City20	-27.38	153.15	31/01/2020	39.1	Mesophilic	WWTP	Other	Wastewater sludge	46	900	30	21	7.3	5500	
MQ201019-89	AU-35-A	Biological	Oceania	Australia	AU	City20	-27.38	153.15	31/01/2020	39	Mesophilic	WWTP	Other	Wastewater sludge	46	900	28	19.6	7.3	5500	
MQ201019-90	AU-35-B	Biological	Oceania	Australia	AU	City20	-27.38	153.15	31/01/2020	39	Mesophilic	WWTP	Other	Wastewater sludge	46	900	28	19.6	7.3	5500	
